-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.154ms        44.10%      14.154ms      23.279us           0 b           0 b           0 b           0 b           608  
                                              aten::sum         1.83%       8.356ms         2.47%      11.277ms      84.156us       3.652ms        11.38%       3.652ms      27.256us           0 b           0 b     529.00 Kb     527.00 Kb           134  
at::native::xpu::ReduceKernel<4, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us       3.607ms        11.24%       3.607ms      27.325us           0 b           0 b           0 b           0 b           132  
                                        adam_fused_step         2.13%       9.743ms         3.82%      17.463ms      47.455us       2.799ms         8.72%       2.799ms       7.605us           0 b           0 b           0 b           0 b           368  
at::AtenIpexTypeXPU::UnrolledElementwiseKernelForMul...         0.00%       0.000us         0.00%       0.000us       0.000us       2.799ms         8.72%       2.799ms       7.605us           0 b           0 b           0 b           0 b           368  
                                            aten::copy_         3.22%      14.699ms         6.03%      27.574ms      27.140us       2.635ms         8.21%       2.635ms       2.594us           0 b           0 b           0 b           0 b          1016  
                                       c10d::allreduce_         1.19%       5.423ms         1.45%       6.637ms     414.821us       2.036ms         6.34%       2.036ms     127.280us           0 b           0 b           0 b           0 b            16  
allreduce_large_read_write_ipc<float, 2, 2>(void con...         0.00%       0.000us         0.00%       0.000us       0.000us       1.879ms         5.85%       1.879ms     117.410us           0 b           0 b           0 b           0 b            16  
                                              aten::bmm         4.44%      20.312ms         5.54%      25.343ms     117.330us       1.617ms         5.04%       1.617ms       7.488us           0 b           0 b     111.37 Mb      64.00 Kb           216  
                                              aten::mul         3.19%      14.563ms         5.74%      26.225ms      50.823us       1.570ms         4.89%       1.570ms       3.042us           8 b           8 b     111.25 Mb     111.25 Mb           516  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.560ms         4.86%       1.560ms       3.451us           0 b           0 b           0 b           0 b           452  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.539ms         4.80%       1.539ms       3.007us           0 b           0 b           0 b           0 b           512  
                           onednn_mm_out(640, 512, 512)         1.39%       6.335ms         1.61%       7.379ms     153.722us       1.222ms         3.81%       1.222ms      25.450us           0 b           0 b           0 b           0 b            48  
                       aten::native_layer_norm_backward         1.21%       5.544ms         1.85%       8.466ms     132.283us       1.202ms         3.74%       1.202ms      18.780us           0 b           0 b      49.38 Mb       2.00 Kb            64  
                           onednn_mm_out(512, 512, 640)         0.82%       3.727ms         0.98%       4.462ms     123.954us     961.280us         2.99%     961.280us      26.702us           0 b           0 b           0 b           0 b            36  
                           onednn_addmm(640, 2048, 512)         0.34%       1.532ms         0.40%       1.833ms     152.759us     914.560us         2.85%     914.560us      76.213us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(640, 512, 2048)         0.28%       1.264ms         0.33%       1.528ms     127.311us     901.120us         2.81%     901.120us      75.093us           0 b           0 b           0 b           0 b            12  
                           onednn_addmm(640, 512, 2048)         0.31%       1.436ms         0.39%       1.761ms     146.757us     888.000us         2.77%     888.000us      74.000us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(640, 2048, 512)         0.26%       1.201ms         0.32%       1.468ms     122.355us     885.280us         2.76%     885.280us      73.773us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(512, 2048, 640)         0.25%       1.122ms         0.30%       1.352ms     112.682us     877.440us         2.73%     877.440us      73.120us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(2048, 512, 640)         0.24%       1.077ms         0.29%       1.309ms     109.066us     862.400us         2.69%     862.400us      71.867us           0 b           0 b           0 b           0 b            12  
                                aten::native_layer_norm         1.14%       5.211ms         1.52%       6.947ms     108.541us     847.520us         2.64%     847.520us      13.242us           0 b           0 b      49.34 Mb           0 b            64  
