-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.321ms        43.37%      14.321ms      23.554us           0 b           0 b           0 b           0 b           608  
                                              aten::sum         1.37%      10.106ms         1.76%      13.001ms      97.022us       3.683ms        11.15%       3.683ms      27.483us           0 b           0 b     529.00 Kb     527.00 Kb           134  
at::native::xpu::ReduceKernel<4, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us       3.636ms        11.01%       3.636ms      27.548us           0 b           0 b           0 b           0 b           132  
                                        adam_fused_step         1.30%       9.605ms         2.34%      17.257ms      46.895us       2.944ms         8.92%       2.944ms       8.000us           0 b           0 b           0 b           0 b           368  
at::AtenIpexTypeXPU::UnrolledElementwiseKernelForMul...         0.00%       0.000us         0.00%       0.000us       0.000us       2.944ms         8.92%       2.944ms       8.000us           0 b           0 b           0 b           0 b           368  
                                            aten::copy_         1.97%      14.511ms         3.70%      27.270ms      26.840us       2.776ms         8.41%       2.776ms       2.732us           0 b           0 b           0 b           0 b          1016  
                                       c10d::allreduce_         5.12%      37.746ms         5.28%      38.945ms       2.434ms       2.029ms         6.15%       2.029ms     126.810us           0 b           0 b           0 b           0 b            16  
allreduce_large_read_write_ipc<float, 2, 2>(void con...         0.00%       0.000us         0.00%       0.000us       0.000us       1.878ms         5.69%       1.878ms     117.370us           0 b           0 b           0 b           0 b            16  
                                              aten::mul         2.12%      15.663ms         3.68%      27.122ms      52.562us       1.720ms         5.21%       1.720ms       3.333us          32 b          32 b     111.25 Mb     111.25 Mb           516  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.685ms         5.10%       1.685ms       3.291us           0 b           0 b           0 b           0 b           512  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.664ms         5.04%       1.664ms       3.681us           0 b           0 b           0 b           0 b           452  
                                              aten::bmm         2.54%      18.732ms         3.21%      23.639ms     109.441us       1.657ms         5.02%       1.657ms       7.673us           0 b           0 b     111.37 Mb           0 b           216  
                       aten::native_layer_norm_backward         0.75%       5.499ms         1.13%       8.350ms     130.473us       1.240ms         3.75%       1.240ms      19.367us           0 b           0 b      49.38 Mb           0 b            64  
                           onednn_mm_out(640, 512, 512)         0.82%       6.035ms         0.95%       7.041ms     146.678us       1.230ms         3.72%       1.230ms      25.620us           0 b           0 b           0 b           0 b            48  
                           onednn_mm_out(512, 512, 640)         0.51%       3.731ms         0.60%       4.445ms     123.475us     992.160us         3.00%     992.160us      27.560us           0 b           0 b           0 b           0 b            36  
                           onednn_addmm(640, 2048, 512)         0.21%       1.549ms         0.25%       1.845ms     153.764us     908.800us         2.75%     908.800us      75.733us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(640, 512, 2048)         0.17%       1.251ms         0.20%       1.512ms     125.986us     904.640us         2.74%     904.640us      75.387us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(512, 2048, 640)         0.15%       1.089ms         0.18%       1.319ms     109.884us     903.040us         2.73%     903.040us      75.253us           0 b           0 b           0 b           0 b            12  
                           onednn_addmm(640, 512, 2048)         0.19%       1.416ms         0.23%       1.690ms     140.823us     890.240us         2.70%     890.240us      74.187us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(640, 2048, 512)         0.15%       1.110ms         0.18%       1.364ms     113.660us     886.880us         2.69%     886.880us      73.907us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(2048, 512, 640)         0.14%       1.068ms         0.18%       1.301ms     108.449us     875.680us         2.65%     875.680us      72.973us           0 b           0 b           0 b           0 b            12  
                                aten::native_layer_norm         0.69%       5.109ms         0.93%       6.834ms     106.776us     872.800us         2.64%     872.800us      13.638us           0 b           0 b      49.34 Mb           0 b            64  
